Cluster 0,Cluster 1,Cluster 2
6.850383871415762e-07,0.9999983778590321,9.371025808799471e-07
5.057918267608321e-06,0.9999935547012014,1.3873805306323697e-06
2.0393922428784866e-10,0.9999917623809448,8.237415115967099e-06
1.1085829642693603e-07,0.9999990370885543,8.520531489783299e-07
2.5805996175737383e-85,0.9999083232084583,9.167679154194356e-05
1.9155000357315368e-19,0.9999835891347141,1.641086528600831e-05
2.3521035784422907e-14,0.9999991882325867,8.117673899354655e-07
9.955172780448699e-05,0.9998994820944673,9.661777281233475e-07
3.331674021120995e-06,0.9999942079386795,2.4603872989602923e-06
1.2439934831150565e-07,0.9999996580387424,2.1756190967904253e-07
1.1707114657944583e-06,0.9999628585671808,3.5970721354087116e-05
2.2920041537036255e-09,0.9999945354690783,5.462238917652748e-06
0.0002711510122164316,0.9997265881552362,2.260832547168722e-06
0.99925241110911,0.0,0.0007475888908892064
6.042475309591073e-07,0.9999992203023045,1.7545016440264139e-07
8.331034081462437e-08,0.9999908781938877,9.03849577093481e-06
1.044218045512508e-09,0.9999998237536913,1.7520209022470457e-07
3.6712741584717084e-06,0.999994693251718,1.6354741239326645e-06
0.0001593728608557509,0.9998400257406804,6.01398463842434e-07
3.794089846107227e-11,0.9999993753878208,6.2457423738715e-07
0.003104071986916255,0.9968891684936528,6.759519431008599e-06
1.438433458407665e-162,0.9995834340459622,0.0004165659540378151
8.593824346556757e-19,0.9999946589048778,5.341095123023289e-06
7.813014156981097e-14,0.9999987027083342,1.297291587755651e-06
0.0005255625447328283,0.9994733556336466,1.0818216210252203e-06
6.440961153969438e-15,0.0,0.9999999999999929
1.3569257886962574e-12,0.9999997346080495,2.6539059442350875e-07
1.1510448130231246e-14,0.9999909301469969,9.069852991648849e-06
1.1561069793665142e-14,0.9999993733280023,6.266719866151611e-07
9.077363215866126e-12,0.9999988760895634,1.123901359041947e-06
3.2256869214320224e-08,0.9999983297050999,1.6380380311371173e-06
1.0484523255566469e-12,0.9999972220105245,2.7779884271965667e-06
7.222318251837523e-34,0.9999784696649601,2.1530335039721805e-05
2.786278011445495e-35,0.9999905076331119,9.492366889105065e-06
0.4848282276809534,0.5151710540415675,7.182774789710271e-07
3.303489514749186e-08,0.9999988164681715,1.150496933714603e-06
0.01029387337898691,0.9897048246785699,1.3019424431352177e-06
0.0003617921209145519,0.9996375706818917,6.371971935423294e-07
2.5289125479131776e-05,0.9999744132565055,2.976180160892045e-07
1.0473194426958702e-24,0.9999869712727796,1.3028727220645264e-05
1.9595023025071497e-06,0.999997479966038,5.605316594897175e-07
0.0010372813888402178,0.9989617621002568,9.565109033681192e-07
3.6796146861752236e-06,0.9999948788606732,1.4415246405687107e-06
9.620278480622583e-17,0.9999732856803859,2.671431961339934e-05
3.7463348544869596e-07,0.9999994717548734,1.5361164082973934e-07
4.589539088392984e-05,0.9999516437856664,2.460823449443457e-06
4.803746010358614e-07,0.9999974916154503,2.028009948323154e-06
6.128549667837973e-07,0.9999993116091381,7.553589551338979e-08
0.12565721408323458,0.8743426216107483,1.6430601693126484e-07
1.7498161461365837e-05,0.9999810365396412,1.465298897421364e-06
3.470200337452989e-06,0.9999946492826156,1.8805170470970293e-06
